session_id,source_url,primary_track,all_tracks,track_count,session_type,session_number,session_title,full_title,date,time,timezone,location,cme_hours,moc_hours,cne_hours,acpe_hours,acpe_number,pace_hours,ce_broker_hours,primary_speaker_name,primary_speaker_title,primary_speaker_department,primary_speaker_institution,primary_speaker_location,total_speakers,all_speakers,disclosure_count,disclosures,presentation_count,presentation_titles,presentation_times,presentation_speakers
499,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=499,,,0,Symposium,,205 - Maternal Immunization: A New Era of Prevention of Infant Infection,205 - Maternal Immunization: A New Era of Prevention of Infant Infection,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,Sidney J. Marcus Auditorium,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Paul Heath, FRCPCH (he/him/his)",Director,,"Vaccine Institute, Centre for Neonatal and Paediatric Infection, St George’s University of London","London, England, United Kingdom",1,"Paul Heath, FRCPCH (he/him/his)",1,"\1: GSK: Grant/Research Support; MinervaX: Grant/Research Support; Moderna Therapeutics: Grant/Research Support; Pfizer, Inc.: Grant/Research Support",2,RSV Prevention Strategies During Pregnancy and Early Childhood | Partnering With OBs to Optimize Immunization in Pregnancy and Infancy,10:30 AM - 10:55 AM | 11:20 AM - 11:45 AM,"Janet A. Englund, MD (she/her/hers) | Neil Silverman, MD (he/him/his)"
500,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=500,,,0,Symposium,,202 - HIV for the Non-HIV Specialist,202 - HIV for the Non-HIV Specialist,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Raaka Kumbhakar, MD, MPH (she/her/hers)",,,Assistant Professor,University of Washington,1,"Raaka Kumbhakar, MD, MPH (she/her/hers)",1,\1: No financial relationships to disclose.,2,Updates on HIV Primary Care Guidelines | Weight Management in HIV Care,10:30 AM - 10:55 AM | 11:20 AM - 11:45 AM,"Christopher B. Fox, MSN, RN, ANP-BC, AAHIVS (he/him/his) | Matthew D. Hickey, MD, MAS (he/him/his)"
501,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=501,,,0,Symposium,,203 - Improving Health Equity Using Advanced Analytic Methods,203 - Improving Health Equity Using Advanced Analytic Methods,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B308-B309,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,Sriram Pemmaraju,University of Iowa,,,,1,Sriram Pemmaraju,1,\1: No financial relationships to disclose.,2,Including Health Equity in Health Care-Associated Infections and Antimicrobial Resistance Modeling to Improve Decision Making | Exploring Opportunities to Improve Health Equity With Machine Learning,10:30 AM - 10:55 AM | 11:20 AM - 11:45 AM,Prabasaj Paul | Cristina Lanzas
502,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=502,,,0,Symposium,,201 - Global Health at Home: Addressing Emerging Infections and Health Disparities in the U.S.,201 - Global Health at Home: Addressing Emerging Infections and Health Disparities in the U.S.,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,Thomas B. Murphy Ballroom 2-3,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,Amanda Gabster,Florida State University,,,,1,Amanda Gabster,1,\1: No financial relationships to disclose.,2,From Tropics to the U.S.: The Growing Threat of Neglected Tropical Diseases in Marginalized American Communities | Global Diseases of Increasing Concern,10:30 AM - 10:55 AM | 11:20 AM - 11:45 AM,"Andres F. Henao, MD PHD FIDSA (he/him/his) | Alicia Hidron, MD"
503,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=503,,,0,Symposium,,198 - ESPID/PIDS Joint Symposium:​ Perspectives in Pediatric Osteoarticular Infections: Bone Appetit!,198 - ESPID/PIDS Joint Symposium:​ Perspectives in Pediatric Osteoarticular Infections: Bone Appetit!,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B206,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Maria Carrillo-Marquez, MD, MS",Associate Professor,Pediatrics,University of Tennessee Health Science Center College of Medicine,"Memphis, Tennessee, United States",1,"Maria Carrillo-Marquez, MD, MS",1,"\1: Moderna ( concluded): Site PI. Phase 3 Study to Evaluate the Safety and Immunogenicity of mRNA-1273.214 Vaccine for SARS-CoV-2 Variants in 6 months <6 years; Moderna (concluded): Site PI. Phase 2 Study to Evaluate Safety, Tolerability, Reactogenicity, and Effectiveness of mRNA-1273.214 Vaccine in 12 weeks to <6 months; Pfizer: Site PI. ClinicalTrials.gov identifier: NCT05639647",3,Initial Oral Versus IV Therapy for Bone and Joint Infections (Europe) | Rapid MRI Protocol for Pediatric Musculoskeletal Infections (U.S.) | Defining the Research Needs in Pediatric Osteoarticular Infections (Europe),10:30 AM - 10:50 AM | 11:10 AM - 11:30 AM | 11:30 AM - 11:45 AM,"Allan Bybeck Nielsen, MD, PhD (he/him/his) | Romie F. Gibly, MD PhD | Jesus Saavedra-Lozano, MD. Ph.D"
504,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=504,,,0,Symposium,,200 - Fresh Strategies for Modern Challenges in Outpatient Antibiotic Stewardship,200 - Fresh Strategies for Modern Challenges in Outpatient Antibiotic Stewardship,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,Thomas B. Murphy Ballroom 1,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Jasmine Marcelin, MD (she/her/hers)",Associate Professor of Medicine,"Department of Internal Medicine, Division of Infectious Diseases",University of Nebraska Medical Center,"Omaha, NE, United States",1,"Jasmine Marcelin, MD (she/her/hers)",1,\1: No financial relationships to disclose.,3,"Prescription Adventures: Implementing Antibiotic Stewardship in Pediatric Outpatient Care | Say Aaahh, for Dental Stewardship | Innovations Outside the Ivory Tower: Ambulatory Stewardship",10:30 AM - 10:50 AM | 11:10 AM - 11:30 AM | 11:30 AM - 11:45 AM,"Holly Frost | Alan E. Gross, PharmD | Mei H. Chang, PharmD, BCCCP, BCIDP (she/her/hers)"
505,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=505,,,0,Symposium,,199 - Extrapulmonary Non-Tuberculous Mycobacteria,199 - Extrapulmonary Non-Tuberculous Mycobacteria,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,Thomas B. Murphy Ballroom 4,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Marc Gottlieb, MD, FACS",Faculty,,"HonorHealth, Scottsdale, AZ","Fountain Hills, AZ, United States",1,"Marc Gottlieb, MD, FACS",1,\1: No financial relationships to disclose.,4,Skin and Soft Tissue Infections Caused by Rapidly Growing Mycobacteria | Osteoarticular Infections Caused by Non-Tuberculous Mycobacteria | Osteoarticular Infections Caused by Non-Tuberculous Mycobacteria (Surgical Management) | Disseminated Infections in Immunocompromised Hosts Caused by Non-Tuberculous Mycobacteria,10:30 AM - 10:45 AM | 11:00 AM - 11:15 AM | 11:15 AM - 11:30 AM | 11:30 AM - 11:45 AM,"Jared Eddy | Mollie Tucker, MD (she/her/hers) | Bennie Lindeque, MD, PhD (he/him/his) | Sarah Taimur, MD (she/her/hers)"
506,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=506,Oral Abstract Session,Oral Abstract Session,1,Oral Abstract,,204 - LB Abstracts 4,204 - LB Abstracts 4,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B401-B402,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,Speaker TBD,"TBD, United States",,,,1,Speaker TBD,1,\1: No financial relationships to disclose.,0,,,
507,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=507,Oral Abstract Session,Oral Abstract Session,1,Oral Abstract,,206 - No One Size Fits All: Antimicrobial Stewardship in Special Populations,206 - No One Size Fits All: Antimicrobial Stewardship in Special Populations,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B213-B214,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Katie Chiotos, MD MSCE",,,"Assistant Professor of Anesthesiology, Critical Care, and Pediatrics",Children's Hospital of Philadelphia,2,"Katie Chiotos, MD MSCE; Daniel Morgan, MD, MS",2,\1: No financial relationships to disclose. | \1: No financial relationships to disclose.,5,Estimating Antibiotic Resistance Following Antibiotic Treatment in Outpatients: a Retrospective Study | Using a novel Anaerobic Activity Index to assess risk for poor outcomes in burn patients in a burn intensive care unit | Effects of an Intervention to Improve Antibiotic Use in Dental Clinics Associated with an Academic Safety Net Institution | Evaluation of BioFire FilmArray® Pneumonia PCR Multiplex Panel Testing in Routine Outpatient Surveillance Bronchoscopies After Lung Transplant | Keeping up with Local Bugs in OB: Antibiogram-Driven Antibiotic Guidance for Peripartum Infections,10:30 AM - 10:45 AM | 10:45 AM - 11:00 AM | 11:00 AM - 11:15 AM | 11:15 AM - 11:30 AM | 11:30 AM - 11:45 AM,"Dor Atias, MD | Natalie A. Mackow, MD MSCR (she/her/hers) | Katherine C. Shihadeh, PharmD | Neeraja Swaminthan, MD | Erika Orner, PhD"
508,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=508,Oral Abstract Session,Oral Abstract Session,1,Oral Abstract,,208 - PK/PD,208 - PK/PD,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B211-B212,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Aaron Devanathan, PharmD, PhD",,,Assistant Professor,University of Pittsburgh School of Pharmacy,2,"Aaron Devanathan, PharmD, PhD; Greg Moeck, PhD (he/him/his)",2,\1: No financial relationships to disclose. | \1: VenatoRx Pharmaceuticals Inc.: Prior employment,6,Optimization of Voriconazole Target Trough Attainment via Utilization of Therapeutic Drug Monitoring | Therapeutic Drug Monitoring of Extended Infusion Ceftazidime-Avibactam-Aztreonam (CAZ-AVI-AZT) in Critically Ill Patients with Multidrug-Resistant (MDR) Gram-Negative Infections | Comparative Analysis of Cefazolin Target Attainment in Methicillin-Susceptible Staphylococcus aureus (MSSA) Isolates With and Without the Cefazolin Inoculum Effect (CzIE) | Identification of Ampicillin and Vancomycin In Vitro Susceptibility Test Interpretive Criteria for Enterococcus faecalis and Enterococcus faecium | Pharmacokinetic-Pharmacodynamic (PK-PD) Target Attainment Analyses to Support Ceftobiprole Continuous Infusion Dosing Regimens for Patients with Staphylococcus aureus Bacteremia (SAB) | Effects of alcohol use on tenofovir alafenamide metabolites among persons with HIV: Implications from a pharmacokinetic model,10:30 AM - 10:42 AM | 10:42 AM - 10:54 AM | 10:54 AM - 11:06 AM | 11:06 AM - 11:18 AM | 11:18 AM - 11:30 AM | 11:30 AM - 11:43 AM,"Donna Wesslen, PharmD (she/her/hers) | Anas Hakkim, M Pharm (he/him/his) | Barbara A. Santevecchi, PharmD, BCPS, BCIDP | Sujata M. Bhavnani, PharmD; MS; FIDSA | Sujata M. Bhavnani, PharmD; MS; FIDSA | Sean Avedissian"
509,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=509,Oral Abstract Session,Oral Abstract Session,1,Oral Abstract,,207 - Pediatric Respiratory Virus Vaccines,207 - Pediatric Respiratory Virus Vaccines,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B207-B208,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Natasha Halasa, MD (she/her/hers)",Craig Weaver Professor of Pediatrics,Division of Pediatric Infectious Diseases,Vanderbilt University Medical Center,"Nashville, TN, United States",2,"Natasha Halasa, MD (she/her/hers); Paul Spearman, MD (he/him/his)",2,\1: CSL-Seqirus: Advisor/Consultant; Merck: Grant/Research Support | \1: CyanVac: Advisor/Consultant,6,"Efficacy and Safety of Retavibart, a Long-acting Monoclonal Antibody, for the Prevention of Respiratory Syncytial Virus-Induced Lower Respiratory Tract Infection: A Phase 2b Trial in Infants Entering Their First Epidemic Season | Reduction of RSV-associated hospitalization rates during the 2024-2025 RSV Season among infants <6 months of age. | Maternal RSV Vaccine and Nirsevimab Effectiveness against Medically Attended RSV Disease in Infants, United States | Safety  and Immunogenicity of mRNA-1273.815 in COVID-19 Vaccine-Naïve Children 2 Through 4 Years of Age: Results From a Phase 3, Open-Label Trial | Nirsevimab effectiveness in infants against respiratory syncytial virus (RSV) lower respiratory tract disease (LRTD) and related healthcare utilization | Nationwide trends in respiratory syncytial virus (RSV) immunizations and RSV immunization efficacy in children aged 2 and under",10:30 AM - 10:42 AM | 10:42 AM - 10:54 AM | 10:54 AM - 11:06 AM | 11:06 AM - 11:18 AM | 11:18 AM - 11:30 AM | 11:30 AM - 11:43 AM,"Yanyan Li, MD | Ayzsa Tannis, MPH | Fatimah S. Dawood, MD | Avika Dixit, MBBS | Amber Hsiao, MPH | Kathryn Lang, MD, PhD (she/her/hers)"
510,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=510,Oral Abstract Session,Oral Abstract Session,1,Oral Abstract,,209 - Real World/Road Rules Challenge: Implementation of Long-Acting ART,209 - Real World/Road Rules Challenge: Implementation of Long-Acting ART,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B203,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Dima Dandachi, MD, MPH (she/her/hers)",Associate Professor of Medicine,Medicine - Infectious Diseases,University of Missouri - Columbia,"Columbia, MO, United States",2,"Dima Dandachi, MD, MPH (she/her/hers); Rena Patel",1,"\1: GSK/ViiV Healthcare: Grant/Research Support, Honoraria",6,"Insurance Changes Are Common and Associated with Delayed Cabotegravir Plus Rilpivirine Injections | Discontinuation of Cabotegravir for PrEP: Challenges and Opportunities | Human Immunodeficiency Virus (HIV) Testing and Evidence of HIV among Real-World Long-Acting Pre-Exposure Prophylaxis (PrEP) Users in a United States Claims Database: Results from the PrEPFACTS Study | PREFER-LA: Improved Adherence and Viral Control in Real-World Study of People with HIV (PWH) in the United States with Adherence Challenges on Oral Antiretroviral Therapy (ART) Switching to Cabotegravir + Rilpivirine Long-Acting (CAB+RPV LA) | Community-based PrEP delivery in urban US settings: the first US mobile retail pharmacy | Acceptability, Feasibility and Appropriateness of the Mobile Outreach Retention and Engagement (MORE) Program and Home Long-Acting Cabotegravir/Rilpivirine (CAB+RPV LA) Injections for People with HIV (PWH) Experiencing Adherence Challenges at Whitman-Walker Health in Washington D.C.",10:30 AM - 10:42 AM | 10:42 AM - 10:54 AM | 10:54 AM - 11:06 AM | 11:06 AM - 11:18 AM | 11:18 AM - 11:30 AM | 11:30 AM - 11:43 AM,"Jennifer M. Davis, MD (she/her/hers) | Alexander Kaplan, MD (he/him/his) | Aimee A. Metzner, PharmD, AAHIVP (she/her/hers) | William R. Short, MD (he/him/his) | Sheela Shenoi, MD MPH (she/her/hers) | Megan Dieterich, MPH, MMSc, PA-C"
511,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=511,Epi & Infection Control,Epi & Infection Control; Global ID; Investigative ID; Pediatric ID; Trainee,5,Symposium,,198 - ESPID/PIDS Joint Symposium:​ Perspectives in Pediatric Osteoarticular Infections: Bone Appetit!,198 - ESPID/PIDS Joint Symposium:​ Perspectives in Pediatric Osteoarticular Infections: Bone Appetit!,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B206,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Angela Campbell, MD, MPH, FPIDS, FIDSA",,,Adjunct Professor of Pediatrics / Medical Officer,Emory University School of Medicine / CDC,3,"Angela Campbell, MD, MPH, FPIDS, FIDSA; Debra Palazzi, MD, MEd; Adilia Warris, MD PhD  (she/her/hers)",3,"\1: No financial relationships to disclose. | \1: AHRQ: Grant/Research Support; AMA: Board Member, JAMA Pediatrics Associate Editor; Elsevier: writing and editing for UpToDate; Lurie Children's: Honoraria; Pediatric Infectious Disease Society (PIDS): Board Member; Pew Charitable Trust: Grant/Research Support | \1: Basilea: Honoraria; Elion: Advisor/Consultant; Pfizer, Inc.: Advisor/Consultant",4,Initial Oral Versus IV Therapy for Bone and Joint Infections (Europe) | Determining Definitive Antibiotic Regimen and Duration of Therapy (U.S.) | Rapid MRI Protocol for Pediatric Musculoskeletal Infections (U.S.) | Defining the Research Needs in Pediatric Osteoarticular Infections (Europe),10:30 AM - 10:50 AM | 10:50 AM - 11:10 AM | 11:10 AM - 11:30 AM | 11:30 AM - 11:45 AM,"Allan Bybeck Nielsen, MD, PhD (he/him/his) | Maria Carrillo-Marquez, MD, MS | Romie F. Gibly, MD PhD | Jesus Saavedra-Lozano, MD. Ph.D"
512,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=512,Adult ID,Adult ID; Epi & Infection Control; Investigative ID; Pediatric ID; Trainee,5,Symposium,,200 - Fresh Strategies for Modern Challenges in Outpatient Antibiotic Stewardship,200 - Fresh Strategies for Modern Challenges in Outpatient Antibiotic Stewardship,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,Thomas B. Murphy Ballroom 1,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Susan Casey, MD (she/her/hers)",CQO,,University of Maryland Medical Center,"Baltimore, MD, United States",2,"Susan Casey, MD (she/her/hers); Rana El Feghaly, MD, MSCI, CPHQ (she/her/hers)",2,"\1: No financial relationships to disclose. | \1: Merck and Company, Inc.: Grant/Research Support; Pfizer, Inc.: Grant review panel",4,"Prescription Adventures: Implementing Antibiotic Stewardship in Pediatric Outpatient Care | Prioritizing Equity in Antimicrobial Stewardship Efforts (EASE): A Framework for Clinicians | Say Aaahh, for Dental Stewardship | Innovations Outside the Ivory Tower: Ambulatory Stewardship",10:30 AM - 10:50 AM | 10:50 AM - 11:10 AM | 11:10 AM - 11:30 AM | 11:30 AM - 11:45 AM,"Holly Frost | Jasmine R. Marcelin, MD (she/her/hers) | Alan E. Gross, PharmD | Mei H. Chang, PharmD, BCCCP, BCIDP (she/her/hers)"
513,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=513,Adult ID,Adult ID; Global ID; HIV-STD-TB; Pediatric ID; Trainee,5,Symposium,,199 - Extrapulmonary Non-Tuberculous Mycobacteria,199 - Extrapulmonary Non-Tuberculous Mycobacteria,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,Thomas B. Murphy Ballroom 4,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Carlos Franco-Paredes, MD, MPH",Faculty,Department of Medicine - Division of Infectious Diseases,"Hospital Infantil de Mexico, Mexico and Instituto Conmemorativo de la Salud, Panama","Denver, CO, United States",3,"Carlos Franco-Paredes, MD, MPH; Ruvandhi Nathavitharana; Jared Eddy",2,"\1: Shionogi & Company, Limited: Advisor/Consultant | \1: No financial relationships to disclose.",5,Skin and Soft Tissue Infections Caused by Rapidly Growing Mycobacteria | Skin and Soft Tissue Infections Caused by Rapidly Growing Mycobacteria (Surgical Management) | Osteoarticular Infections Caused by Non-Tuberculous Mycobacteria | Osteoarticular Infections Caused by Non-Tuberculous Mycobacteria (Surgical Management) | Disseminated Infections in Immunocompromised Hosts Caused by Non-Tuberculous Mycobacteria,10:30 AM - 10:45 AM | 10:45 AM - 11:00 AM | 11:00 AM - 11:15 AM | 11:15 AM - 11:30 AM | 11:30 AM - 11:45 AM,"Jared Eddy | Marc E. Gottlieb, MD, FACS | Mollie Tucker, MD (she/her/hers) | Bennie Lindeque, MD, PhD (he/him/his) | Sarah Taimur, MD (she/her/hers)"
514,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=514,Adult ID,Adult ID; Epi & Infection Control; Global ID; Investigative ID; HIV-STD-TB; Pediatric ID; Trainee,7,Symposium,,201 - Global Health at Home: Addressing Emerging Infections and Health Disparities in the U.S.,201 - Global Health at Home: Addressing Emerging Infections and Health Disparities in the U.S.,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,Thomas B. Murphy Ballroom 2-3,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Christine Johnston, MD, MPH (she/her/hers)",Professor,Medicine,University of Washington,"Seattle, WA, United States",2,"Christine Johnston, MD, MPH (she/her/hers); Nelson Agudelo Higuita, MD",2,"\1: AiCuris.: Advisor/Consultant; Assembly Biosciences: Advisor/Consultant; GSK: Advisor/Consultant, Grant/Research Support; Moderna, Inc.: Grant/Research Support; Oxymo: Advisor/Consultant; Pfizer, Inc.: Advisor/Consultant | \1: No financial relationships to disclose.",3,From Tropics to the U.S.: The Growing Threat of Neglected Tropical Diseases in Marginalized American Communities | Emerging Infections in the Migrant Population | Global Diseases of Increasing Concern,10:30 AM - 10:55 AM | 10:55 AM - 11:20 AM | 11:20 AM - 11:45 AM,"Andres F. Henao, MD PHD FIDSA (he/him/his) | Amanda Gabster | Alicia Hidron, MD"
515,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=515,Adult ID,Adult ID; Epi & Infection Control; Investigative ID; Pediatric ID,4,Symposium,,203 - Improving Health Equity Using Advanced Analytic Methods,203 - Improving Health Equity Using Advanced Analytic Methods,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B308-B309,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Danielle Zerr, MD MPH (she/her/hers)",Professor Pediatric Infectious Diseases/Med. Dir. Infection Prevention,,University of Washington/Seattle Children's Hospital,"Seattle, WA, United States",2,"Danielle Zerr, MD MPH (she/her/hers); Lindsay Keegan, PhD",2,"\1: Allovir, Inc: Advisor/Consultant; Merck and Company, Inc.: Grant/Research Support | \1: No financial relationships to disclose.",3,Including Health Equity in Health Care-Associated Infections and Antimicrobial Resistance Modeling to Improve Decision Making | Models and Algorithms for Equitable Vaccine Allocation | Exploring Opportunities to Improve Health Equity With Machine Learning,10:30 AM - 10:55 AM | 10:55 AM - 11:20 AM | 11:20 AM - 11:45 AM,Prabasaj Paul | Sriram Pemmaraju | Cristina Lanzas
516,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=516,Adult ID,Adult ID; HIV-STD-TB; Trainee,3,Symposium,,202 - HIV for the Non-HIV Specialist,202 - HIV for the Non-HIV Specialist,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Amesika Nyaku, MD, MS (she/her/hers)",Assistant Professor,Medicine/Infectious Diseases,Northwestern University,"Chicago, IL, United States",2,"Amesika Nyaku, MD, MS (she/her/hers); Jade Pagkas-Bather, MD, MPH (she/her/hers)",2,\1: Gilead Biosciences: Grant/Research Support | \1: GSK/ViiV Healthcare: Grant/Research Support,3,Updates on HIV Primary Care Guidelines | Updates on Inpatient Management of HIV & OIs | Weight Management in HIV Care,10:30 AM - 10:55 AM | 10:55 AM - 11:20 AM | 11:20 AM - 11:45 AM,"Christopher B. Fox, MSN, RN, ANP-BC, AAHIVS (he/him/his) | Raaka G. Kumbhakar, MD, MPH (she/her/hers) | Matthew D. Hickey, MD, MAS (he/him/his)"
517,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=517,Adult ID,Adult ID; Global ID; Pediatric ID,3,Symposium,,205 - Maternal Immunization: A New Era of Prevention of Infant Infection,205 - Maternal Immunization: A New Era of Prevention of Infant Infection,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,Sidney J. Marcus Auditorium,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Flor Munoz, MD",Associate Professor of Pediatrics,Pediatrics,Baylor College of Medicine Houston,"Dallas, Texas, United States",2,"Flor Munoz, MD; Catherine Mary Healy, MD, FIDSA (she/her/hers)",2,"\1: Merck: Advisor/Consultant; Pfizer: Advisor/Consultant, Grant/Research Support | \1: Dexcom, Inc: Stocks/Bonds (Public Company); Hillevax, Inc: Advisor/Consultant; Intuitive Surgical, Inc: Stocks/Bonds (Public Company); Quidel Diagnostics: Stocks/Bonds (Public Company); UpToDate Wolters Kluwer Health: Honoraria; Vindico CME: Honoraria",3,RSV Prevention Strategies During Pregnancy and Early Childhood | Group B Streptococcus Prevention During Pregnancy and Early Infancy | Partnering With OBs to Optimize Immunization in Pregnancy and Infancy,10:30 AM - 10:55 AM | 10:55 AM - 11:20 AM | 11:20 AM - 11:45 AM,"Janet A. Englund, MD (she/her/hers) | Paul T. Heath, FRCPCH (he/him/his) | Neil Silverman, MD (he/him/his)"
518,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=518,Adult ID,Adult ID; Transplant,2,Symposium,,210 - T-Cell Modifying Therapies: What the ID Provider Needs to Know,210 - T-Cell Modifying Therapies: What the ID Provider Needs to Know,"Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B405-B407,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Murat Akova, Prof. (he/him/his)",Professor,,Hacettepe University,"Ankara, Ankara, Turkey",2,"Murat Akova, Prof. (he/him/his); Joshua A. Hill, MD",2,"\1: No financial relationships to disclose. | \1: AlloVir: Advisor/Consultant, Grant/Research Support; Century Therapeutics: Advisor/Consultant; CSL Behring: Advisor/Consultant; ExeVir Bio: Advisor/Consultant; GeoVax: Advisor/Consultant, Grant/Research Support; Gilead Australia: Honoraria; Grifols: Advisor/Consultant; Karius: Advisor/Consultant, Travel; Medscape: Advisor/Consultant; Merck: Grant/Research Support; Moderna, Inc.: Board Member; Modulus: Advisor/Consultant; Oxford immunotec: Grant/Research Support; Sanofi Pasteur Inc.: Advisor/Consultant; Senti BioSciences, Inc: Advisor/Consultant; SymBio: Advisor/Consultant; Takeda: Grant/Research Support; Takeda Netherlands: Honoraria; UpToDate: Royalties",3,"Overview of the Patient Journey and Risk For Infection: CAR T-Cell and Bispecific Antibody Therapy | Not All CARs and Abs Are Created Equal: Incidence, Type and Timing of Infections | Preventative Strategies: Vaccination and Prophylaxis",10:30 AM - 10:55 AM | 10:55 AM - 11:20 AM | 11:20 AM - 11:45 AM,"Susan K. Seo, MD | Jessica S. Little, MD (she/her/hers) | Benjamin Teh, MD"
519,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=519,Adult ID,Adult ID; Global ID; Pediatric ID,3,Symposium,,"211 - The Many Facets of Clinical Breakpoints: Impact of MIC, AMR and Dosing on Outcomes","211 - The Many Facets of Clinical Breakpoints: Impact of MIC, AMR and Dosing on Outcomes","Wednesday, October 22, 2025",10:30 AM - 11:45 AM,,B312-B313,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Patricia (Trish) Simner, PhD, D(ABMM) (she/her/hers)",,,Clinical Microbiologist,"Mayo Clinic, MN, United States",2,"Patricia (Trish) Simner, PhD, D(ABMM) (she/her/hers); James Lewis, II, PharmD, FIDSA",1,"\1: bioMerieux Inc.: Advisor/Consultant; Cepheid, Inc: Advisor/Consultant; Day Zero Diagnostics Inc.: Advisor/Consultant; GeneCapture: Advisor/Consultant; Innotive Diagnostics: Advisor/Consultant; Next Gen Diagnostics: Advisor/Consultant",3,"What Makes a Good Breakpoint? | Should I Hang My Hat on This Antimicrobial Susceptibility Testing Result? | What Matters Most? MIC, AMR or Dosing?",10:30 AM - 10:55 AM | 10:55 AM - 11:20 AM | 11:20 AM - 11:45 AM,"James S. Lewis, II, PharmD, FIDSA | Alexandra L. Bryson, Ph.D., D(ABMM) | Andrew J. Fratoni, PharmD"
