presenting_author_details,presenting_author_name,co_authors,poster_id,url,error
"Infectious Diseases Fellow;Stanford University;Stanford, California, United States","Rebecca Linfield, MD (she/her/hers)","[{'name': 'Alessandro Zulli, PhD', 'details': 'Postdoctoral Fellow;Stanford University;Stanford, CA, United States'}, {'name': 'Sehee Jong, BS', 'details': 'MS in Epidemiology and Clinical Research;Stanford University;Stanford, California, United States'}, {'name': 'Marlene Wolfe, MSc, PhD (she/her/hers)', 'details': 'Assistant Professor;Emory University'}, {'name': 'Alexandria Boehm, MS PhD (she/her/hers)', 'details': 'Professor;Stanford University;Stanford, CA, United States'}, {'name': 'Julie Parsonnet, MD', 'details': 'George Deforest Barnett Professor of Medicine;Stanford School of Medicine;Stanford, California, United States'}]",695050,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1242,
"Senior Advisor and Physician;Centers for Disease Control and Prevention;Atlanta, GA, United States","Siobhan M. O'Connor, MD, MPH (she/her/hers)","[{'name': 'John Weiser, MD, MPH', 'details': 'Medical Epidemiologist;Centers for Disease Control and Prevention;Atlanta, Georgia, United States'}, {'name': 'Xin Yuan, MD, MS', 'details': 'DLH Corporation;Atlanta, Georgia, United States'}, {'name': 'Yishiow Kuo, MPH', 'details': 'DLH Corporation;Atlanta, Georgia, United States'}, {'name': 'Linda Beer, PhD', 'details': 'Epidemiologist;Centers for Disease Control and Prevention;Atlanta, Georgia, United States'}]",695606,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1243,
"Senior Advisor and Physician;Centers for Disease Control and Prevention;Atlanta, GA, United States","Siobhan M. O'Connor, MD, MPH (she/her/hers)","[{'name': 'Alexandra B. Balaji, PhD', 'details': 'Supervisory Epidemiologist;Centers for Disease Control and Prevention;Atlanta, Georgia, United States'}, {'name': 'Scott Grytdal, MPH', 'details': 'Epidemiologist;Centers for Disease Control and Prevention;Atlanta, GA, United States'}, {'name': 'Baohua Wu, MS', 'details': 'Senior Service Fellow;Centers for Disease Control and Prevention;Atlanta, Georgia, United States'}, {'name': 'Xiaohong Hu, MS', 'details': 'Mathematical Statistician;Centers for Disease Control and Prevention;Atlanta, Georgia, United States'}, {'name': 'John Brooks, MD', 'details': 'Senior Medical Advisor;Centers for Disease Control and Prevention;Atlanta, GA, United States'}]",695394,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1244,
"Infectious Diseases Fellow PGY 4;Ohio State University;Hilliard, Ohio, United States","Syeda F. Hassan, MD (she/her/hers)","[{'name': 'Ashley Lipps, MD (she/her/hers)', 'details': 'Assistant Professor;The Ohio State University Wexner Medical Center;Columbus, Ohio, United States'}, {'name': 'Yesha Patel, MD (she/her/hers)', 'details': 'Assistant Professor, Division of Infectious Diseases;The Ohio State University Wexner Medical Center;Columbus, Ohio, United States'}, {'name': 'Mohammad Mahdee Sobhanie, MD', 'details': 'Assistant Professor of Medicine;The Ohio State University;Columbus, Ohio, United States'}, {'name': 'Carlos Malvestutto, MD MPH', 'details': 'Associate Professor;The Ohio State University Wexner Medical Center;Columbus, OH, United States'}, {'name': 'Susan L. Koletar, MD', 'details': 'Professor/Director;Ohio State University;Columbus, Ohio, United States'}]",695385,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1245,
"ID physician;National Cheng Kung University Hospital;Tainan, Tainan, Taiwan (Republic of China)","Lingshan Syue, MPH","[{'name': 'Wen-Chien Ko, Master', 'details': 'National Cheng Kung University Hospital;Tainan, Tainan, Taiwan'}, {'name': 'Nai-Ying Ko, Doctorate', 'details': 'National Cheng Kung University;Tainan, Tainan, Taiwan'}, {'name': 'Chung-Yi Li, Doctorate', 'details': 'National Cheng Kung University;Tainan, Tainan, Taiwan'}]",689424,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1246,
"Research Program Coordinator;Johns Hopkins University School of Medicine;Baltimore, Maryland, United States",Ye Eun Lee,"[{'name': 'Maria C. Latimer, MPH', 'details': 'Johns Hopkins University School of Medicine;Baltimore, Maryland, United States'}, {'name': 'Sharon Kelly, PhD', 'details': 'Research Analyst;Johns Hopkins University School of Medicine;Baltimore, Maryland, United States'}, {'name': 'Tarfa I. Verinumbe, MD MPH (he/him/his)', 'details': 'Research Fellow;Johns Hopkins University;Baltimore, Maryland, United States'}, {'name': 'Tracy Agee, CRNP', 'details': 'Sr. Nurse Practitioner;Johns Hopkins University;Baltimore, Maryland, United States'}, {'name': 'Heidi Hutton, PhD', 'details': 'Johns Hopkins Univ School of Medicine;Baltimore, Maryland, United States'}, {'name': 'Joyce L. Jones, MD, MS', 'details': 'Assistant Professor;Johns Hopkins University School of Medicine;Baltimore, Maryland, United States'}, {'name': 'Sheree R. Schwartz, PhD', 'details': 'Johns Hopkins School of Public Health;Baltimore, Maryland, United States'}, {'name': 'Jeffrey H. Hsu, MD', 'details': 'Assistant Professor;Johns Hopkins University School of Medicine;Baltimore, Maryland, United States'}, {'name': 'Oluwaseun Falade-Nwulia, MBBS ,MPH', 'details': 'Associate  Professor;Johns Hopkins University;Baltimore, MD, United States'}]",695516,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1247,
"Fellow;Henry Ford Hospital;Detroit, Michigan, United States","Yasmeen Mann, MD","[{'name': 'Thomas Hagerman, MD', 'details': 'PGY4 Emergency Medicine/ Internal Medicine Resident;Henry Ford Hospital;Detroit, Michigan, United States'}, {'name': 'Allison Malick, MD', 'details': 'Henry Ford Hospital;Detroit, Michigan, United States'}, {'name': 'Sanjana Rao, BS', 'details': 'Wayne State University School of Medicine;Detroit, Michigan, United States'}, {'name': 'Charlalynn Harris, PhD MPH', 'details': 'Henry Ford Health System;Duluth, Georgia, United States'}, {'name': 'Maria Santana-Garcés, MPH', 'details': 'Epidemiologist;Henry Ford Health;Livonia, Michigan, United States'}, {'name': 'Jacob Manteuffel, MD', 'details': 'Physician;Henry Ford Hospital;Detroit, Michigan, United States'}, {'name': 'Smitha Gudipati, MD', 'details': 'Infectious Disease Faculty;Henry Ford Health System;Detroit, Michigan, United States'}, {'name': 'Indira Brar, MD', 'details': 'Associate Clinical Professor Wayne State School of Medicine;Henry Ford Hospital;Detroit, Michigan, United States'}]",695117,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1248,
"Associate Professor;Loma Linda University;Loma Linda, California, United States","Alex Dubov, Ph.D (he/him/his)","[{'name': 'Jennifer Veltman, MD', 'details': 'Associate Professor;Loma Linda University School of Medicine;Linda Loma, California, United States'}, {'name': 'Ethan Miles, MD', 'details': 'Resident;Loma Linda University;Loma Linda, California, United States'}]",694922,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1249,
"US Health Outcomes;ViiV Healthcare;Durham, North Carolina, United States","Aimee A. Metzner, PharmD, AAHIVP (she/her/hers)","[{'name': 'Alan Oglesby, MPH', 'details': 'Sr. Director;ViiV Healthcare;Research Triangle Park, North Carolina, United States'}, {'name': 'Allison O’Rourke, MPH', 'details': 'George Washington University;Washington, District of Columbia, United States'}, {'name': 'Noya Galai, PhD', 'details': 'John Hopkins Bloomberg School of Public Health;Baltimore, Maryland, United States'}, {'name': 'Tahilin Sanchez Karver, MPH', 'details': 'Doctoral Student;Johns Hopkins University;Baltimore, MD, United States'}, {'name': 'Wendy W. Davis, EdM', 'details': 'Senior Research Scientist;George Washington University Milken Institute School of Public Health;Washington, District of Columbia, United States'}, {'name': 'Rachel Scott, MD,MPH,FACOG', 'details': 'Scientific Director;MedStar Health Research Institute;Washington, DC, United States'}, {'name': 'Patricia Moriarty, CCRC', 'details': 'MedStar Washington Hospital Center;Washington DC, District of Columbia, United States'}, {'name': 'Tamara Taggart, PhD, MPH', 'details': 'George Washington University;Washington, District of Columbia, United States'}, {'name': 'Clare Barrington, PhD, MPH', 'details': 'Associate Professor;UNC Gillings School of Global Public Health;Chapel Hill, North Carolina, United States'}, {'name': 'Hoisex Gomez, Psicóloga', 'details': 'Unidad de Vacunas e Investigación IDCP;Santo Domingo, Distrito Nacional, Dominican Republic'}, {'name': 'Martha Perez, MA', 'details': 'Instituto Dermatologico y Cirugia de la Piel;Santo Domingo, Distrito Nacional, Dominican Republic'}, {'name': 'Yeycy Donastorg, MD/MPH', 'details': 'Principal Investigator;INSTITUTO DERMATOLOGICO Y CIRUGIA DE PIEL ""DR. HUBERTO BOGAERT DIAZ"";SANTO DOMINGO, Distrito Nacional, Dominican Republic'}, {'name': 'Deanna Kerrigan, PhD, MPH (she/her/hers)', 'details': 'Professor and Chair;George Washington University;Washington, District of Columbia, United States'}]",695046,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1250,
"Medical Student;Duke University;Durham, North Carolina, United States","Alice Schaack, BA (she/her/hers)","[{'name': 'Maxwell Allamong, PhD', 'details': 'Duke Institute for Survey Methodology;Durham, North Carolina, United States'}, {'name': 'Frances Hung, MS', 'details': 'Biostatistician II;Duke University;Durham, North Carolina, United States'}, {'name': 'Richard Barfield, Ph.D, MPH', 'details': 'Duke University;Durham, North Carolina, United States'}, {'name': 'Mehri McKellar, MD (she/her/hers)', 'details': 'Associate Professor of Medicine;Duke University Hospital;DURHAM, North Carolina, United States'}]",694935,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1251,
"Attending Physician;Boston Children's Hospital;Boston, Massachusetts, United States","Carly Guss, MD, MPH (she/her/hers)","[{'name': 'Brittany Gluskin, MA', 'details': ""Clinical Research Specialist II;Boston Children's Hospital;Norwood, Massachusetts, United States""}, {'name': 'Douglas Krakower, MD (he/him/his)', 'details': 'Associate Professor of Medicine;Harvard Medical School;Boston, MA, United States'}, {'name': 'Lauren Wisk, PhD', 'details': 'University of California, Los Angeles;Los Angeles, California, United States'}]",689828,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1252,
"ID Fellow;Beth Israel Deaconess Medical Center;Brookline, Massachusetts, United States","Elena Beideck, MD (she/her/hers)","[{'name': 'Ryan Gould, MPH', 'details': 'Beth Israel Deaconess Medical Center;Boston, Massachusetts, United States'}, {'name': 'Douglas Krakower, MD (he/him/his)', 'details': 'Associate Professor of Medicine;Harvard Medical School;Boston, MA, United States'}]",695250,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1253,
"Clinical Quality Director;NYC Health and Hospitals;NY, New York, United States","Emma Kaplan-Lewis, MD (she/her/hers)","[{'name': 'Eunice Casey, MPH, MIA', 'details': 'Senior Director;NYC Health and Hospitals;NY, New York, United States'}, {'name': 'Kruti Gala, MPH', 'details': 'Senior Data Analyst;Health + Hospitals;New York, New York, United States'}, {'name': 'Zeyu Li, MPH', 'details': 'Data Manager;NYC Health + Hospitals;New York, New York, United States'}, {'name': 'Xingyu Dai, MPH', 'details': 'NYC Health + Hospitals;New York, New York, United States'}, {'name': 'Gabriel Cohen, MD', 'details': 'CMIO, Population Health;NYC Health + Hospitals;New York, New York, United States'}]",695232,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1254,
"Medical Student;University of Alabama at Birmingham Marnix E. Heersink School of Medicine;Birmingham, Alabama, United States","Hannah Goymer, BS","[{'name': 'Madeline Pratt, MPH', 'details': 'Clinical Research Coordinator III;University of Alabama at Birmingham;Philadelphia, Pennsylvania, United States'}, {'name': 'Kaylee W. Burgan, MA', 'details': 'University of Alabama at Birmingham (UAB);Birmingham, Alabama, United States'}, {'name': 'Desiree Phillips, MPH', 'details': 'University of Alabama at Birmingham;Birmingham, Alabama, United States'}, {'name': 'Lynn T. Matthews, MD', 'details': 'Associate Professor;University of Alabama at Birmingham Heersink School of Medicine;Birmingham, Alabama, United States'}, {'name': 'Mirjam-Colette Kempf, PhD, MPH', 'details': 'Professor of Nursing;University of Alabama at Birmingham;Birmingham, Alabama, United States'}, {'name': 'Bernadette Johnson, BS', 'details': 'Research Director;UAB;Birmingham, Alabama, United States'}, {'name': 'Michael J. Mugavero, MD, MHSc', 'details': 'Professor;UAB;Birmingham, Alabama, United States'}, {'name': 'Audra Williams, MD, MPH', 'details': 'University of Alabama Birmingham;Birmingham, Alabama, United States'}, {'name': 'Latesha Elopre, MD (she/her/hers)', 'details': 'Assistant Professor of Medicine;University of Alabama of Birmingham;Birmingham, AL, United States'}]",695352,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1255,
"Resident Physician;Rutgers NJMS;Newark, New Jersey, United States","Heather M. Wang, MD (she/her/hers)","[{'name': 'Ruchi Biswas, BS', 'details': 'Rutgers NJMS;Newark, New Jersey, United States'}, {'name': 'Isaac Daudelin, MD PhD', 'details': 'Rutgers NJMS;Newark, New Jersey, United States'}, {'name': 'Jonathan M. Czeresnia, MD', 'details': 'Assistant Professor;Rutgers NJMS;Newark, New Jersey, United States'}, {'name': 'Michelle L. Dalla-Piazza, MD', 'details': 'Associate Professor;Rutgers New Jersey Medical School;Newark, New Jersey, United States'}, {'name': 'Raquel Reyes, DNP', 'details': 'Rutgers NJMS;Newark, New Jersey, United States'}, {'name': 'Shobha Swaminathan, MD', 'details': 'Associate Professor;Rutgers New Jersey Medical School;Newark, New Jersey, United States'}, {'name': 'Diana Finkel, DO', 'details': 'Assistant Professor;Rutgers NJMS;Newark, New Jersey, United States'}]",695060,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1256,
"Fellow;Thomas Jefferson University;newark, New Jersey, United States","Isaac Daudelin, MD PhD","[{'name': 'Eileen Kim, MD', 'details': 'Rutgers NJMS;Newark, New Jersey, United States'}, {'name': 'Arthi Palani, MD', 'details': 'Rutgers NJMS;Newark, New Jersey, United States'}, {'name': 'Ritik Goyal, MD', 'details': 'Rutgers NJMS;Newark, New Jersey, United States'}, {'name': 'Heather M. Wang, MD (she/her/hers)', 'details': 'Resident Physician;Rutgers NJMS;Newark, New Jersey, United States'}, {'name': 'Shobha Swaminathan, MD', 'details': 'Associate Professor;Rutgers New Jersey Medical School;Newark, New Jersey, United States'}, {'name': 'Jared Walsh, MD', 'details': 'Rutgers NJMS;Newark, New Jersey, United States'}, {'name': 'Diana Finkel, DO', 'details': 'Assistant Professor;Rutgers NJMS;Newark, New Jersey, United States'}]",695358,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1257,
"Associate Professor;University of Chicago Medicine;Chicago, Illinois, United States","Jessica Ridgway, MD","[{'name': 'Matthew Caputo, BS', 'details': 'Research Data Analyst;Northwestern University;Chicago, Illinois, United States'}, {'name': 'Jessica Ridgway, MD', 'details': 'Associate Professor;University of Chicago Medicine;Chicago, Illinois, United States'}, {'name': 'Joseph A. Mason, BA', 'details': 'Statistician;University of Chicago;Chicago, Illinois, United States'}, {'name': 'Chad Achenbach, MD, MPH', 'details': 'Associate Professor;Northwestern Memorial Hospital;Chicago, Illinois, United States'}, {'name': 'Moira McNulty, MD', 'details': 'University of Chicago;Chicago, Illinois, United States'}, {'name': 'Joseph A. Mason, BA', 'details': 'Statistician;University of Chicago;Chicago, Illinois, United States'}, {'name': 'Chad Achenbach, MD, MPH', 'details': 'Associate Professor;Northwestern Memorial Hospital;Chicago, Illinois, United States'}, {'name': 'Moira McNulty, MD', 'details': 'University of Chicago;Chicago, Illinois, United States'}]",694920,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1258,
"Associate Professor;Louisiana State University Health Science Center–New Orleans;New Orleans, LA, United States","Meredith E. Clement, MD (she/her/hers)","[{'name': 'Leah Molloy, PharmD (she/her/hers)', 'details': 'Director, Scientific Affairs;PRIME Education;Brighton, Michigan, United States'}, {'name': 'Laura Simone, PhD', 'details': 'Executive Director, Scientific Affairs;PRIME Education, LLC;Fort Lauderdale, Florida, United States'}, {'name': 'Chris Napolitan, n/a', 'details': 'Managing Director;PRIME Education;Brooklyn, New York, United States'}, {'name': 'Jeffrey D. Carter, PhD', 'details': 'Director, Population Health and Research;PRIME Education, LLC;Fort Lauderdale, Florida, United States'}, {'name': 'Kelly E. Pillinger, PharmD', 'details': 'Associate Director, Scientific Affairs;PRIME Education;New York, New York, United States'}]",695537,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1259,
"Postdoctoral Fellow;University of Pennsylvania Perelman School of Medicine;Decatur, Georgia, United States","Kaitlyn Broderick, MD (she/her/hers)","[{'name': 'Shimrit Keddem, PhD, MPH, MUSA', 'details': 'Assistant Professor, Core Investigator;Michael J. Crescenz VA Medical Center;Philadelphia, Pennsylvania, United States'}, {'name': 'Lauren Beste, MD, MSc', 'details': 'VA Puget Sound Health Care System;Seattle, Washington, United States'}, {'name': 'Anneliese Sorrentino, MSS', 'details': 'Corporal Michael J. Crescenz Veterans Affairs Center for Health Equity, Research & Promotion (CHERP), Philadelphia, PA;Philadelphia, Pennsylvania, United States'}, {'name': 'Tammara Dixon, Health Science Specialist', 'details': 'Corporal Michael J. Crescenz Veterans Affairs Center for Health Equity, Research & Promotion (CHERP), Philadelphia, PA;Philadelphia, Pennsylvania, United States'}, {'name': 'Aneeza Agha, Program Support Assistant', 'details': 'Corporal Michael J. Crescenz Veterans Affairs Center for Health Equity, Research & Promotion (CHERP), Philadelphia, PA;Philadelphia, Pennsylvania, United States'}, {'name': 'Omaris Caceres, Research Assistant', 'details': 'Corporal Michael J. Crescenz Veterans Affairs Center for Health Equity, Research & Promotion (CHERP), Philadelphia, PA;Philadelphia, Pennsylvania, United States'}]",695073,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1260,
"Medical Student;Medical College of Georgia;Athens, Georgia, United States","Kaley Parchinski, MPH (she/her/hers)","[{'name': 'Victor Neirinckx, BA, BS', 'details': 'Yale School of Medicine;New Haven, Connecticut, United States'}, {'name': 'Angela Di Paola, PhD', 'details': 'Yale University;New Haven, Connecticut, United States'}, {'name': 'Tracy Ghantous, RN', 'details': 'Clinical Research Nurse II;Yale School of Medicine;New Haven, Connecticut, United States'}, {'name': 'Adati Tarfa, PharmD, PhD (she/her/hers)', 'details': 'Postdoctoral Researcher;Yale University;New Haven, Connecticut, United States'}, {'name': 'Sheela Shenoi, MD MPH', 'details': 'Assistant Professor of Medicine;Yale University;New Haven, Connecticut, United States'}, {'name': 'Michelle Strong, DNP, MSN, FNP-BC, CARN-AP', 'details': 'Clinical Lead for Practice and Research;Prisma Health;Greenville, South Carolina, United States'}, {'name': 'Prerana J. Roth, MD MPH', 'details': 'Infectious Disease Specialist;Prisma Health-Upstate;Greenville, South Carolina, United States'}, {'name': 'Frances Levin, MD', 'details': 'Kennedy-Leavy Professor of Psychiatry;New York State Psychiatric Institute/ Columbia University;New YOrk, New York, United States'}, {'name': 'Kathleen Brady, MD, PhD', 'details': 'Medical University of South Carolina;Charleston, South Carolina, United States'}, {'name': 'Edward Nunes, MD', 'details': 'Columbia University;New York City, New York, United States'}, {'name': 'Cynthia Frank, PhD, RN', 'details': 'Yale School of Medicine;New Haven, Connecticut, United States'}, {'name': 'Alain H. Litwin, MD, MPH, MS', 'details': 'Professor of Medicine;Greenville Health System/Clemson University;Columbia, South Carolina, United States'}, {'name': 'Sandra Ann Springer, MD', 'details': 'Associate Professor of Medicine;Yale University;New Haven, Connecticut, United States'}]",695531,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1261,
"Director, HIV Global Medical Affairs;Gilead Sciences;Forest City, California, United States","Joshua Gruber, PhD MPH (he/him/his)","[{'name': 'Xiwen Huang, PhD', 'details': 'Gilead Sciences, Inc.;Foster City, California, United States'}, {'name': 'Seojin Park, PharmD, MS', 'details': 'Gilead Sciences, Inc.;Foster City, California, United States'}, {'name': 'Li Tao, MD, PhD', 'details': 'Director;Gilead Sciences;Foster City, CA, United States'}, {'name': 'Joshua Gruber, PhD MPH (he/him/his)', 'details': 'Director, HIV Global Medical Affairs;Gilead Sciences;Forest City, California, United States'}]",695302,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1262,
"Fellow;University of Colorado Denver;Aurora, Colorado, United States","Priya H. Vyas, MD (she/her/hers)","[{'name': 'Alexander Limas, MSW', 'details': 'University of Colorado, Denver;Aurora, Colorado, United States'}, {'name': 'Jennifer Moor, MSW', 'details': 'University of Colorado Denver;Aurora, Colorado, United States'}, {'name': 'AJ De La Garza, BSW', 'details': 'University of Colorado Denver;Aurora, Colorado, United States'}, {'name': 'Katherine Leonard, MSN, FNP-BC', 'details': 'University of Colorado Denver;Aurora, Colorado, United States'}, {'name': 'Kimberly Pierce, PNP', 'details': 'University of Colorado Denver;Aurora, Colorado, United States'}, {'name': 'Sam Gallegos, BS', 'details': 'University of Colorado Denver;Aurora, Colorado, United States'}, {'name': 'Priya H. Vyas, MD (she/her/hers)', 'details': 'Fellow;University of Colorado Denver;Aurora, Colorado, United States'}, {'name': 'Elizabeth McFarland, MD', 'details': 'University of Colorado Denver;Aurora, Colorado, United States'}, {'name': 'Diane M. Straub, MD, MPH', 'details': 'Professor;University of Colorado Denver;Aurora, Colorado, United States'}, {'name': 'Elizabeth McFarland, MD', 'details': 'University of Colorado Denver;Aurora, Colorado, United States'}, {'name': 'Diane M. Straub, MD, MPH', 'details': 'Professor;University of Colorado Denver;Aurora, Colorado, United States'}]",695001,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1263,
"Medical Student;Medical College of Wisconsin;Milwaukee, Wisconsin, United States",Lia Mojica (she/her/hers),"[{'name': 'Claudia P. Vicetti Miguel, MD', 'details': 'Assistant Professor of Pediatrics;Medical College of Wisconsin;Wauwatosa, Wisconsin, United States'}, {'name': 'Margaret Thew, DNP, FNP-C', 'details': 'MCW;Milwaukee, Wisconsin, United States'}, {'name': 'Wendi Ehrman, MD', 'details': 'Associate Professor of Pediatrics;Medical College of Wisconsin  8701 W. Watertown Plank Rd, Milwaukee, WI  53226;Milwaukee, Wisconsin, United States'}, {'name': 'Lia Mojica (she/her/hers)', 'details': 'Medical Student;Medical College of Wisconsin;Milwaukee, Wisconsin, United States'}]",695215,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1264,
"Network HIV Director;The Family Health Centers at NYU Langone;Brooklyn, New York, United States","Mitchell Caponi, MPH","[{'name': 'Miriam Bonano, BA', 'details': 'Program Supervisor;Sunset Park Health Council;Bronx, New York, United States'}, {'name': 'Eduardo Bayter, BBA', 'details': 'HIV Prevention  Program Supervisor;The Family Health Centers at NYU Langone;Brooklyn, New York, United States'}, {'name': 'Kathryn Keneipp, MPH', 'details': 'Quality Data Manager;Family Health Centers at NYU Langone;Brooklyn, New York, United States'}, {'name': 'Sandeep Bhat, MD, MBA, FACP', 'details': 'HIV medical director;NYU Langone;New York, New York, United States'}]",695473,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1265,
"Infectious Disease Physician;Atlanta VA Medical Center/Emory University SOM;Decatur, Georgia, United States","Nadine M. Harris, MD (she/her/hers)","[{'name': 'Kathryn E. DeSilva, PharmD', 'details': 'Pharmacist;Atlanta VA Medical Center;Decatur, Georgia, United States'}, {'name': 'Roseylee Kuriakose, APRN', 'details': 'Atlanta VA Healthcare System;Decatur, Georgia, United States'}, {'name': 'Stacy Sorlie, PA-C', 'details': 'Physician Assistant;Atlanta VA Healthcare System;Decatur, Georgia, United States'}, {'name': 'Sarah Reed, RN', 'details': 'Atlanta VA Healthcare System;Decatur, Georgia, United States'}, {'name': 'Nora T. Oliver, MD, MPH', 'details': 'Infectious Disease Physician;Atlanta VA Medical Center;Decatur, Georgia, United States'}, {'name': 'Abeer Moanna, MD', 'details': 'Chief of Infectious Diseases Clinic;Atlanta VA Medical Center;Atlanta, Georgia, United States'}, {'name': 'Andrew S. Webster, MD', 'details': 'Atlanta VA Medical Center;Decatur, Georgia, United States'}, {'name': 'Emily J. Cartwright, MD (she/her/hers)', 'details': 'Associate Professor;Emory University School of Medicine, Atlanta VA health care system;Decatur, Georgia, United States'}]",695560,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1266,
"Clinical Assistant Professor of Medicine;University of Pennsylvania;Atlanta, Georgia, United States","Nancy Aitcheson, MD, MSHP","[{'name': ""Caroline O'Brien, MS"", 'details': 'Perelman School of Medicine;Philadelphia, Pennsylvania, United States'}, {'name': 'Yun Li, PhD', 'details': 'Associate Professor;University of Pennsylvania;Philadelphia, Pennsylvania, United States'}, {'name': 'Yixuan Feng, Master of Biostatistics', 'details': ""Research Statistician;The Children's Hospital of Philadelphia;Durham, North Carolina, United States""}, {'name': 'Moira Kyweluk, PhD, MPH', 'details': 'Clinical Research Director;Plume Health;Philadelphia, Pennsylvania, United States'}, {'name': 'Florence Momplaisir, MD, MSHP, FACP (she/her/hers)', 'details': 'Associate Professor;University of Pennsylvania;Philadelphia, PA, United States'}, {'name': 'Nadia Dowshen, MD', 'details': 'Children’s Hospital of Philadelphia;Philadelphia, Pennsylvania, United States'}]",695122,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1267,
"Clinical Assistant Professor of Medicine;University of Pennsylvania;Atlanta, Georgia, United States","Nancy Aitcheson, MD, MSHP","[{'name': ""Caroline O'Brien, MS"", 'details': 'Perelman School of Medicine;Philadelphia, Pennsylvania, United States'}, {'name': 'Yixuan Feng, Master of Biostatistics', 'details': ""Research Statistician;The Children's Hospital of Philadelphia;Durham, North Carolina, United States""}, {'name': 'Yun Li, PhD', 'details': 'Associate Professor;University of Pennsylvania;Philadelphia, Pennsylvania, United States'}, {'name': 'Moira Kyweluk, PhD, MPH', 'details': 'Clinical Research Director;Plume Health;Philadelphia, Pennsylvania, United States'}, {'name': 'Florence Momplaisir, MD, MSHP, FACP (she/her/hers)', 'details': 'Associate Professor;University of Pennsylvania;Philadelphia, PA, United States'}, {'name': 'Nadia Dowshen, MD', 'details': 'Children’s Hospital of Philadelphia;Philadelphia, Pennsylvania, United States'}]",694940,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1268,
"Resident;University of South Florida;Valrico, Florida, United States","Nicholas Francisco Massanet, MD (he/him/his)","[{'name': 'Jonathan George, APRN', 'details': 'Hillsborough Health Department;Tampa, Florida, United States'}, {'name': 'Veena Jajoo, MPH, CPH', 'details': 'University of South Florida;Tampa, Florida, United States'}, {'name': 'Kerri Bevard, n/a', 'details': 'Hillsborough Health Department;tampa, Florida, United States'}, {'name': 'Sheila Forstell, n/a', 'details': 'Hillsborough Health Department;tampa, Florida, United States'}, {'name': 'Maritza Acosta, n/a', 'details': 'Hillsborough Health Department;tampa, Florida, United States'}, {'name': 'Marcia Bookins, n/a', 'details': 'Hillsborough Health Department;tampa, Florida, United States'}, {'name': 'Charurut Somboonwit, MD', 'details': 'University of South Florida Morsani College of Medicine;Tampa, Florida, United States'}, {'name': 'Jacqueline E. Sherbuk, MD', 'details': 'Assistant Professor;University of South Florida;Tampa, Florida, United States'}]",695237,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1269,
"Assistant Professor of Pediatrics;Louisiana State University Health Sciences Center Shreveport;Shreveport, Louisiana, United States","Patricia Pichilingue Reto, MD","[{'name': 'Melanie Green, MS, BS', 'details': 'Louisiana State University Health Sciences Center Shreveport;Shreveport, Louisiana, United States'}, {'name': 'Alexandre Malek, MD, MPH', 'details': 'Assistant Professor of Medicine;Louisiana State University Health Sciences Center Shreveport;Shreveport, Louisiana, United States'}, {'name': 'Paulette Pinargote, MD', 'details': 'Assistant professor/MD;Lousiana State University Health Shreveport;Bossier City, Louisiana, United States'}, {'name': 'Deborah Smith, PhD, MPH, BSN', 'details': 'Assistant Professor of Public Health;Louisiana State University Health Sciences Center Shreveport;Shreveport, Louisiana, United States'}]",694845,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1270,
